,Tweet,Brand/Product,Emotion,Brand
19,Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,iPad or iPhone App,Positive,Apple
20,Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,iPad,Positive,Apple
21,"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",iPad or iPhone App,Positive,Apple
22,"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",Android App,Positive,Google
23,"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",iPad or iPhone App,Positive,Apple
24,Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,Android App,Positive,Google
25,"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",iPad,Positive,Apple
26,"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",iPad or iPhone App,Positive,Apple
27,"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",Other Google product or service,Positive,Google
28,The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,iPad or iPhone App,Positive,Apple
29,"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive,Google
30,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,Positive,Apple
31,You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,iPad or iPhone App,Positive,Apple
32,"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",android,Neutral,Google
33,Anyone at  #sxsw want to sell their old iPad?,ipad,Neutral,Apple
34,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,ipad,Neutral,Apple
35,"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",google,Neutral,Google
36,The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,iPad,Positive,Apple
37,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,ipad,Neutral,Apple
38,@mention  - False Alarm: Google Circles Not Coming NowÛÒand Probably Not Ever? - {link} #Google #Circles #Social #SXSW,Google,Negative,Google
39,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,google,Neutral,Google
40,@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,Apple,Positive,Apple
41,"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youÛªre getting friend... {link}",android,Neutral,Google
42,Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weÛªll make you one!,iphone,Neutral,Apple
43,Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},ipad,Neutral,Apple
44,For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},iphone,Neutral,Apple
45,#IPad2 's Û÷#SmartCoverÛª Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,iPad or iPhone App,Positive,Apple
46,Hand-Held Û÷HoboÛª: Drafthouse launches Û÷Hobo With a ShotgunÛª iPhone app #SXSW {link},iphone,Positive,Apple
47,HOORAY RT ÛÏ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},Apple,Positive,Apple
48,Orly....? ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ,google,Neutral,Google
49,wooooo!!! ÛÏ@mention Apple store downtown Austin open til Midnight. #sxswÛ,Apple,Positive,Apple
50,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,ipad,Neutral,Apple
51,"ÛÏ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",Unknown,Neutral,Unknown
52,÷¼ WHAT? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Unknown,Neutral,Unknown
53,".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",Unknown,Neutral,Unknown
54,ÛÏ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswÛ @mention,google,Neutral,Google
55,ÛÏ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswÛ,Google,Positive,Google
56,"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",google,Neutral,Google
57,{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,iPad,Positive,Apple
58,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},ipad,Neutral,Apple
59,@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},google,Neutral,Google
60,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,apple,Neutral,Apple
61,"#futuremf @mention {link} spec for recipes on the web, now in google search: {link}  #sxsw",google,Neutral,Google
62,#OMFG! RT @mention Heard about Apple's pop-up store in downtown Austin? Pics are already on Gowalla: {link} #sxsw #iPad2,Apple,Positive,Apple
63,"#Smile RT @mention I think Apple's &quot;pop-up store&quot; in Austin would be a lot more interesting if it actually, you know... popped up #sxsw",Apple,Neutral,Apple
64,Again? RT @mention Line at the Apple store is insane.. #sxsw,apple,Negative,Apple
65,Agree. RT @mention Wait. FIONA APPLE is in town??? Somebody kidnap her and put her in a recording studio until she records a new album. #sxsw,apple,Neutral,Apple
66,At #sxsw? @mention / @mention wanna buy you a drink. 7pm at Fado on 4th. {link} Join us!,Unknown,Neutral,Unknown
67,attending @mention iPad design headaches #sxsw {link},iPad,Negative,Apple
68,"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",android,Negative,Google
69,Check out @mention @mention &amp; @mention in line for their iPad 2 in Austin. Power to them! #sxswi #SXSW  {link},iPad,Positive,Apple
70,Check! RT @mention giving added value to location based services needs to battle check-in fatigue #google #pnid #sxsw,google,Neutral,Google
71,Chilcott: @mention #SXSW stand talking with Blogger staff. Too late to win competition for best tweet mentioning @mention So no t-shirt.,Unknown,Neutral,Unknown
72,"Do it. RT @mention Come party w/ Google tonight at #sxsw! {link} - Bands, food, art, ice cream, nifty interactive maps!",Google,Positive,Google
73,Gowalla's @mention promises to launch Foursquare check-in + Groupon rewards-type service at #SXSW. Finger's crossed. {link},Unknown,Neutral,Unknown
74,"Ha.ha. RT @mention #SXSW News: Yahoo.com is loosing search traffic to new site, Google.com. Doubt it will last tho w/ that weird name.",google,Neutral,Google
75,Holla! RT @mention At google party. Best ever! Get your butt over here. #sxsw,Google,Positive,Google
76,I love my @mention iPhone case from #Sxsw but I can't get my phone out of it #fail,iPhone,Positive,Apple
77,I worship @mention {link} #SXSW,Unknown,Neutral,Unknown
78,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",ipad,Neutral,Apple
79,"Launching @mention #SxSW? RT @mention @mention Denies Social Network Called Circles Will Debut Today, Despite Report {link}",Unknown,Neutral,Unknown
80,New Post: @mention iPhone app makes it easy to connect on all social networks with people you meet  {link} #sxsw,iPad or iPhone App,Positive,Apple
81,Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,Positive,Apple
82,Nice!  RT @mention Apple opening popup store for iPad launch in downtown Austin during #SXSW {link} via @mention,apple,Neutral,Apple
83,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,Positive,Apple
84,"one thing @mention is doing so great is get a great, down to earth face to Google as a company - You can only love her #sxsw #sxwsi",Google,Positive,Google
85,Stay tune @mention showcase #H4ckers {link} #SXSW,Unknown,Neutral,Unknown
86,Thank you @mention @mention for the #touchingstories preso #SXSW . Here's their deck {link},Unknown,Neutral,Unknown
87,Thank you @mention for an awesome #sxsw party! {link},Unknown,Neutral,Unknown
88,"Thanks RT @mention If you're trying to contact friends or family in #Japan, @mention has created a person finder: {link} #SXSW",Unknown,Neutral,Unknown
89,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,Positive,Apple
91,Thanks to @mention for publishing the news of our new medical Apps in the #sxswi conf. blog {link} #sxsw #sxswh #mhealth,Unknown,Neutral,Unknown
92,What !?!? @mention  #SXSW does not provide iPhone chargers?!?  I've changed my mind about going next year!,iPhone,Negative,Apple
93,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,apple,Neutral,Apple
94,Wonder if @mention is putting tips from the @mention API... #SxSW #SUxSW,Unknown,Neutral,Unknown
95,"XMAS!! RT @mention Shiny new @mention @mention @mention apps, a new @garyvee book, pop-up iPad 2 stores... #SXSW is Christmas for nerds.",iPad,Positive,Apple
96,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,Positive,Apple
97,"Yes!!! RT @mention hey @mention , i've got another gem for you --&gt; free @mention sxsw {link} #SXSW",Unknown,Neutral,Unknown
98,"Fast, Fun &amp; Future: @mention of Google presenting at #sxsw on search, local and mobile",Google,Positive,Google
99,GSD&amp;M &amp; Google's Industry Party Tonight @mention - See u there! {link} #SXSW #Austin #Welivehere #GSDM,google,Neutral,Google
100,"New buzz? &quot;@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxsw&quot;",google,Neutral,Google
101,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,Positive,Apple
103,Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,iphone,Negative,Apple
104,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy",Google,Positive,Google
105,".@mention &quot;Google launched checkins a month ago.&quot; Check ins are ok, but CHECK OUTS are the future. #sxsw #Bizzy (via @mention",google,Neutral,Google
106,"ÛÏ@mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.Û",Google,Positive,Google
107,"Attending &quot;left brain search = Google, Right brain search = X&quot;  #Bettersearch  -- talking about the future of search engines at #sxsw",google,Neutral,Google
108,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},apple,Neutral,Apple
109,"Kawasaki: &quot;Not C.S. Lewis level reasoning, but Apple's continued existence is evidence for the existence of God&quot; #bawling #sxsw",Apple,Positive,Apple
110,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment,apple,Neutral,Apple
111,Kawasaki: &quot;pagemaker saved Apple.&quot; Oh those were the days. #sxsw #jwtatl #enchantment  via @mention,Apple,Positive,Apple
112,Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},android,Positive,Google
113,"Unboxing. #Apple #sxsw  @mention Apple Store, SXSW {link}",apple,Neutral,Apple
114,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,Positive,Apple
115,"At #SXSW, #Apple schools the #marketing experts | SXSW - CNET Blogs {link}",apple,Neutral,Apple
116,"At #SXSW, #Apple schools the marketing experts - {link}",Apple,Positive,Apple
117,"At #SXSW, #Apple schools the marketing experts {link}",apple,Neutral,Apple
118,"Temporary #apple store is def not a tent, it's a powerhouse gym #SXSW  {link}",Apple,Positive,Apple
119,"Temporary #Apple store on 6th and Congress for #sxsw, along with 10,000 very happy hipsters.",Apple,Positive,Apple
120,ÛÏ@mention #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch - That is good.,Apple,Positive,Apple
121,#iPad and #Austin are trending today. Have fun at #sxsw all you nerdy nerds!!!,iPad,Positive,Apple
122,"Headed to #Austin for #SXSW? Check out my map for newbies {link} @mention @mention , @mention @mention Enjoy!",Unknown,Neutral,Unknown
123,Funny how #Austin is trending but not #SXSW. Only a matter of minutes at this point (at least according to Twitter for iPhone).,iphone,Neutral,Apple
124,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,Positive,Apple
125,#sxsw #ux #ipad #uxdes remember to ultimately be aware of the audience your app is targeted towards. An unexpected experience can be good.,ipad,Neutral,Apple
126,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,Positive,Apple
127,I can haz #iPad2 ifrom #SxSW Gr8 {link},iPad,Positive,Apple
128,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,Positive,Apple
129,"#Google's #Mobile Future, and the Elusive 'Power of Here' - {link} (via @mention #eurorscg #sxsw #sxswi",google,Neutral,Google
130,"For those #notatSXSW (or at #SXSW), here's {link} Free to download and meet nearby peps",Unknown,Neutral,Unknown
131,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,google,Positive,Google
132,Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link} #seo #sxsw,google,Neutral,Google
133,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",apple,Neutral,Apple
134,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW /via @mention ^rg",apple,Neutral,Apple
135,"Take that #SXSW ! RT @mention Major South Korean director gets $130,000 to make a movie entirely with his iPhone. {link}",iPhone,Positive,Apple
136,"Beautiful #sxsw (@mention Apple Store, SXSW) [pic]: {link}",Apple,Positive,Apple
137,Q1 Was at #sxsw #sxswi for prep. Amazing pre push locally. Focus on location based. Google owns 10% of the regions billboards. #pr20chat,google,Neutral,Google
138,Any other #Sxsw accounts I need to follow or apps to download for iPhone?,iphone,Neutral,Apple
139,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a business card broadcaster.,iphone,Neutral,Apple
140,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},iphone,Neutral,Apple
141,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,apple,Neutral,Apple
142,Must have #SXSW app! RT @mention Lovely review from Forbes for our SXSW iPad app Holler Gram - {link},iPad or iPhone App,Positive,Apple
143,Temporary #sxsw apple store. Apple being sneaky as usual  {link},Apple,Positive,Apple
144,Anyone at #sxsw been by the pop-up Apple store in Austin? That's gotta be a hopping place today.,apple,Neutral,Apple
145,ÛÏ@mention #sxsw beta testing interactive book for iPad app by Moonbot studios out of Louisiana.  Cool app.Û,iPad or iPhone App,Positive,Apple
146,Apple won #SxSW from day one. Seeing a TON of #iPad2,iPad,Positive,Apple
147,#fastball #sxsw Giving away two NEW Ipad2 wifi 32g black Apple cover tweet @mention fo more info #sxswi #attsxsw  Tonight @mention bo.lt house,apple,Neutral,Apple
148,Anyone at #sxsw had a chance to check out the pop-up Apple store? Wondering if it is worth the trek from the convention center...,apple,Neutral,Apple
149,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ @mention Did you manage to get yours?,iPad,Positive,Apple
150,ÛÏ@mention #sxsw ipad store sold out of everything except 64gig wifi only whiteÛ also known as the white jeans configuration.,iPad,Positive,Apple
151,Offered a #sxsw ipad promo to ninjafinder users and fans who are not here at #sxsw. Sucks to not be here. #sxsw,iPad,Positive,Apple
152,@mention  #SXSW is an Austin conference. Do a google search - they have interactive / music / film.,google,Neutral,Google
153,Anyone at #sxsw know if apple will be (or is) selling ipad 2 there?,apple,Neutral,Apple
154,Anyone at #SXSW know if the apple store has had a new shipment of iPads yet?,apple,Neutral,Apple
155,Marc Ecko #SXSW launches #iPhone app. to autodial political change! {link} #edreform #edtech #eduVC #FightThePaddle,iphone,Neutral,Apple
156,#POURsite #SXSW learning about the life-changing impact of the iPad on real people's actual lives - bravo!,iPad,Positive,Apple
157,@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,iphone,Positive,Apple
158,"More free #SXSW mp3 downloads, this time from iTunes: {link}",Unknown,Neutral,Unknown
159,Anyone at #sxsw or heading to aclu event seen owt to do with google circles then?,google,Neutral,Google
160,@mention  #SXSW prompt for memory: go to Google map and describe a childhood walk,google,Neutral,Google
161,The Apple #SXSW store still has iPad 2's and short lines.,iPad,Positive,Apple
162,Essential #sxsw tools: {link},Unknown,Neutral,Unknown
163,"Just left #sxsw tradeshow demo of @mention at the Google Theatre. Ok, I get it. I see why all the presenters here are using it.",Other Google product or service,Positive,Google
164,"Following #sxsw Tweets on Google Realtime, four platforms on Tweet Deck and listening to panel, realizing I'm spoken to no one here today.",google,Neutral,Google
165,Anyone at #sxsw want an iPad 2? I'm in line and will pick one up for someone willing to pay me 50 for me to grab 1 for you?,ipad,Neutral,Apple
166,Anyone at #sxsw want to make a quick hundred dollars? New #ipad2 from ad hoc apple store here gets hundred plus cost!,iPad,Positive,Apple
167,Solving a #SXSW-induced iPhone-in-toilet crisis at Apple Store with @mention (not my crisis for once),apple,Neutral,Apple
168,"Monday at #sxsw: barry diller, new york times, congress lunch, W Hotel party, Google party, six dirty martinis. How mondays should be.",Google,Positive,Google
169,Attending #sxsw? Austin Guide by @mention is now free to download on iTunes - {link} #lp,Unknown,Neutral,Unknown
170,"Seriously #sxsw? Did you do any testing on the mobile apps? Constant iPad crashes causing lost schedules, and no sync for WP7.",iPad or iPhone App,Negative,Apple
171,Ready for #SXSW?! Here are some iPhone apps 2 make ur blogging easier | {link} #SXSW #SXSWi,iPad or iPhone App,Positive,Apple
172,ipad2 and #sxsw...a conflagration of doofusness.  {link},iPad,Negative,Apple
173,attention #sxsw'ers - {link} - rumored pop-up temporary Apple store for all your #sxsw iPad 2 launch needs.,Apple,Positive,Apple
174,I went to #sxswi and all I won was this lousy #iPad #sxsw :-) :-) {link},iPad,Positive,Apple
175,Hey #sxsw #sxswi folks. If you want to learn about security come over to #bsidesaustin {link},Unknown,Neutral,Unknown
176,Attending #SXSWi? Work in iPhone / iPad game development? Looking to hire an Austin-based iOS developer? I'm your man. Let's talk. #SXSW,ipad,Neutral,Apple
177,This is a #WINNING picture #android #google #sxsw {link},Android,Positive,Google
178,GSD&amp;M + Google 7-10. RT @mention What's the best party to hit tonight? #sxsw @mention @mention,google,Neutral,Google
179,GSD&amp;M + Google Industry Party #SXSW @mention great to meet you  {link},google,Neutral,Google
180,"You spent $1,000+ to come to SXSW. 

You've already used iPad 1. 

The wait is a couple city blocks. 

Why? #ipad2 #SXSW {link}",iPad,Negative,Apple
181,#sxsw day 1 - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link},google,Neutral,Google
182,Behind on 100s of emails? Give them all 1 line iPhone composed replies. #SXSW #protip,iPhone,Positive,Apple
183,It's like 10pm at night and there is a line around the block at the popup apple stores selling iPad2s. #sxsw,iPad,Positive,Apple
184,.@mention 1154 free songs from #SXSW (this year alone!) {link},Unknown,Neutral,Unknown
185,more than 150 million mobile users for Google Maps for Mobile #SXSW,google,Neutral,Google
186,Currently 150 people in line at the &quot;Pop Up Apple Store&quot; #sxsw,apple,Neutral,Apple
187,"Only iPad 2 available at #sxsw is the 64GB wifi-only model at $699, plus the optional (not!) leather smart cover at $69",ipad,Neutral,Apple
188,÷¼ We love 2 entertain youÛ_Please donÛªt be grateful! ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Unknown,Neutral,Unknown
189,Less than 2 hours until we announce the details on the iPad 2 giveaway! #SXSW #SXSWi,ipad,Neutral,Apple
190,"I'm up to 2 iPad 2s seen in the wild. Both people say it is fast, but the still pics are terrible. #sxsw",iPad,Negative,Apple
191,(The iPad 2 queue at #sxsw of course,ipad,Neutral,Apple
192,The #iPad 2 Takes Over #SXSW [VIDEO] /by @mention {link},iPad,Positive,Apple
193,many iPad 2's snapping away at the keynote slides! #sxsw,iPad,Positive,Apple
194,Apple has 200M users' credit cards sync'd with iTunes for one click purchase. . #winning #sxsw,apple,Neutral,Apple
195,Having my 2nd cocktail &quot;Texas Snowflake&quot;  ( @mention google it!!) at the #CNNGrill #SxSw,google,Neutral,Google
196,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive {link} #SXSW #SXSWi,iPad or iPhone App,Positive,Apple
197,New Post: 3 iPhone Apps We'll Be Using at South By Southwest Interactive #SXSW #SXSWi {link},iphone,Neutral,Apple
198,sweet new 3-d google maps demo going on in ballroom D #SXSW,Other Google product or service,Positive,Google
199,More than 35 million miles per day are driving with Google Maps Navigation! #SXSW,Other Google product or service,Positive,Google
200,rt ' It's 4 p.m. and the #iPad2 line at the Apple store is longer and wider ÛÒ about 250 people! Only one more hour. ' #sxsw,apple,Neutral,Apple
201,"U = smart 4 packing an extra :) RT @mention On my way to sunny Austin for #sxsw! Extra iPhone in stow, just in case. @mention @mention",iphone,Neutral,Apple
202,"Wonder if 4sqwill attempt to block GoWalla cross-checkins, the way Facebook blocked Google's contacts connections.  #sxsw #lbsWars",google,Neutral,Google
203,#SXSW day 5 at the #apple store and there's still a line...and growing {link},Apple,Positive,Apple
204,"Check out 5 Steps to Bulletproof UX Strategy at SXSW
{link} #SXSW #rhjr_ux5  {link}",Unknown,Neutral,Unknown
205,"Wandering 6th street with the girls. Stopped for ceviche, mojitos, apple juice &amp; ice cream. #sxsw",apple,Neutral,Apple
206,"If you're a band at #SXSW and want to share a track with your Audience from stage, use FrostWire for Android if there's Wi-Fi available",Android App,Positive,Google
207,We've got a busy week ahead: Our new book on #Google Apps will be available on Amazon &amp; we're attending #SXSW,google,Neutral,Google
208,"I believe a few went to Aussies at #sxsw RT @mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link}",ipad,Neutral,Apple
209,ÛÏ@mention A Google Spreadsheet of over 270 parties at #SXSW this year O_O {link} @mention Plan on going to #SXSW Party on,google,Neutral,Google
210,"There was a guy in line for Apple's pop-up store on Sixth Street in Austin. &quot;I'm that guy,&quot; he told me. #sxsw",apple,Neutral,Apple
211,if u have a iPhone you don't need a car'-use zimride etc to share rides #sxsw #shareable,iPad or iPhone App,Positive,Apple
212,"I've seen a lot of tablets here, every single one of them is an iPad. #SXSW",ipad,Neutral,Apple
213,Receiving a lot of @mention messages telling me I'm sexy in response to my post looking to meet fellow Christian iPhone devs at #sxsw,iphone,Neutral,Apple
214,Picked up a Mophie battery case 4 my iPhone in prep for #SXSW. Not lugging around a laptop &amp; only using my phone was a huge win last year.,iPhone,Positive,Apple
215,"Now thats a NEWS :P RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",google,Neutral,Google
216,"Just took a piss at the trade show, iPad in one hand, iPhone in the other. Pissing. I am KIIIIIILLING it right now. #sxsw",ipad,Neutral,Apple
217,"Not to be a rumor monger, but this was a good read å_ #Google #Circles preview @mention #sxsw {link} by @mention via @mention #socbiz #fb",Other Google product or service,Positive,Google
218,HOBO WITH A SHOTGUN iPhone game {link} #sxsw,iphone,Neutral,Apple
219,Hobo with A Shotgun video game coming to iPad/iPhone users?! Yes please! {link} #SXSW,iPad or iPhone App,Positive,Apple
220,build out a store in less than 24 hours and have one of the biggest launches in this company's history?  we got this.  #apple #sxsw #ipad2,Apple,Positive,Apple
221,Just took a survey on iPhone while in Starbucks line. Got a free Starbucks gift card. Instant research. Instant gratification. #sxsw #gsdm,iphone,Neutral,Apple
222,Apple has a temporary Retail Store in Austin for the iPad 2 release today. Opens at 5pm. #SXSW #SXSWi #ipad2,apple,Neutral,Apple
223,Just read about #GroupMe at #SXSW...sounds like an incredible app. Is it available for Android phones yet?,iPad or iPhone App,Positive,Apple
224,Wondering about Circles? &gt; Google to reveal a new social network at #SXSW {link},google,Neutral,Google
225,"google is about search, but local' marissa mayer #sxsw",google,Neutral,Google
226,Wondering about street closures during SXSW? We made a Google Map to show you: {link} #sxsw #austin,google,Neutral,Google
227,Is Google about to have another go at social with &quot;Google Circles&quot;? #sxsw #google,google,Neutral,Google
228,Questions about what's inside the iPad 2? Fire them my way. #sxsw,ipad,Neutral,Apple
229,Paraormal activity: Sanctuary iphone game. Sketching your AR experience. Interactivity through &quot;magic lense&quot; #EduAR #sxsw,iphone,Neutral,Apple
230,Apple IIe ad in the '85 SI swimsuit issue at a garage sale #sxsw {link},apple,Neutral,Apple
231,Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Apple #SocialSearch #SXSW,apple,Neutral,Apple
